,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,full_name,age
31,32,F,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,Marion-Vanichkin,27
34,35,F,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,Margaretha-Strettle,59
36,37,F,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,Laurie-Dwerryhouse,37
37,38,F,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,Cordi-Merman,67
38,39,M,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,Hunfredo-Smalley,43
39,40,F,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,Tomasine-Jerche,41
40,41,M,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,Basilius-Coupe,46
41,42,F,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,Chiquita-Durnall,45
42,43,F,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,Indira-Belt,39
43,44,M,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,Neron-Verick,41
44,45,M,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,Trace-Woodhead,47
46,47,M,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,Matthew-Jeaycock,30
49,50,M,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,Whitby-Schapero,42
50,51,M,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,Fidelio-Dilke,63
52,53,F,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,Agnella-Gocke,68
53,54,F,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,Loralyn-Wonfor,56
54,55,M,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,Linc-Jillions,66
55,56,M,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,Reese-Ensor,26
57,58,F,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,Dalenna-Pinnock,55
60,61,F,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,Kacey-Rowbottom,63
62,63,F,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,Ebony-Zini,57
63,64,M,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,Gerek-Yve,44
64,65,M,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,Yale-Tanser,46
65,66,M,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,Anselm-Gawne,20
66,67,M,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,Vernon-nan,62
69,70,M,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,Foster-Vannoort,29
70,71,M,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,Hoyt-Glavias,37
71,72,M,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,Sammy-Cheese,50
74,75,F,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,Dollie-Sealy,44
75,76,F,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,Rea-Hasser,44
76,77,M,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,Shermie-Andrin,33
77,78,M,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,Arch-Van der Kruis,37
78,79,F,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,Tybi-Silliman,54
79,80,M,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,Pablo-Small,44
81,82,F,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,Gleda-Cokely,57
82,83,M,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,Kerr-Simmell,55
85,86,M,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,Job-Sleney,33
86,87,M,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,Fields-Langdon,48
87,88,F,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,Malynda-Tumber,56
88,89,M,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,Benedicto-Hoxey,55
89,90,M,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,Cary-Garron,38
90,91,M,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,Dylan-Meaker,67
91,92,F,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,Jodee-Judkins,42
92,93,M,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,Gordon-Gowar,46
93,94,M,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,Wallache-Simchenko,48
94,95,F,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,Nomi-Mallinder,62
95,96,M,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,Heath-Olford,54
96,97,M,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,Arne-Corain,43
97,98,F,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,Allianora-Babalola,66
98,99,M,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,Reggie-Mulliner,24
99,100,M,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,Tripp-Steed,54
100,101,M,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,Goran-Kwietek,47
101,102,M,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,Langsdon-Tranfield,66
102,103,F,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,Ethyl-Runham,25
103,104,F,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,Odille-Panketh,44
104,105,F,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,Maribeth-Pristnor,21
105,106,M,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,Glyn-nan,56
106,107,F,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,Pris-Stallebrass,32
111,112,F,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,Shena-Parren,47
113,114,F,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,Sunny-Swindells,37
114,115,M,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,Alberik-Mereweather,41
115,116,M,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,Scottie-Swiffen,23
116,117,F,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,Nance-Suttling,40
119,120,M,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,Sloan-Wagg,44
120,121,M,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,Myles-Pauncefort,65
121,122,M,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,Colver-Itter,43
122,123,F,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,Almeta-Kalinsky,34
123,124,F,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,Kath-Cunney,27
124,125,F,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,Darrelle-Antoniewski,62
125,126,M,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,Norman-Cliff,30
126,127,F,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,Merrili-Whitear,48
127,128,M,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,Isidro-Cypler,45
128,129,M,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,Weidar-Silkstone,37
129,130,M,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,Raddy-Delete,25
130,131,F,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,Jana-Renyard,58
131,132,F,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,Celesta-Willavoys,59
132,133,M,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,Eldridge-Fiddeman,45
133,134,F,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,Merna-McCulloch,25
134,135,F,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,Rosalia-Sigart,47
135,136,M,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,Mel-Bennet,49
136,137,M,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0,Vaughn-Artin,35
137,138,M,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,Onofredo-Franc,37
138,139,M,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,Gar-nan,58
139,140,M,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,Morrie-Flaxon,28
140,141,M,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,Townsend-Trobe,68
141,142,M,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,Bentley-Fortesquieu,55
142,143,M,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,Kendall-Figg,65
144,145,M,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,Filippo-Ferrara,25
145,146,M,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,Ricoriki-Matlock,37
146,147,F,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,Rea-Pattrick,49
148,149,F,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,Drucy-Kausche,27
149,150,M,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,Bradly-Crosse,39
150,151,M,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,Donnie-Brimson,57
151,152,F,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,Stephana-Cardew,41
152,153,F,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,Lorilyn-Walshe,45
154,155,M,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,Orran-Bogges,37
155,156,F,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,Shayla-Rimmington,43
156,157,M,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,Chad-Houtby,48
158,159,M,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0,Arin-Matskevich,35
159,160,M,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0,Wake-Durning,58
161,162,M,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0,Port-Acuna,43
162,163,F,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0,Kessia-Helder,46
163,164,F,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0,Aarika-Van Vuuren,23
164,165,M,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,Aldon-Roelofs,38
165,166,M,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,Elston-Oleszczak,67
168,169,M,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,Alfy-Bruhnke,65
169,170,M,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0,Jammal-Gever,47
170,171,F,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,Halli-Davidoff,52
171,172,M,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,Hilton-Carney,34
172,173,F,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0,Ebba-Hanselmann,25
173,174,F,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,Catie-Tosspell,33
174,175,M,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0,Templeton-Hambrook,47
175,176,M,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0,Angelo-Clayal,30
176,177,F,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,Ondrea-Pablos,33
178,179,M,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0,Esteban-Sewill,56
179,180,F,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0,Trisha-Neasham,51
180,181,F,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0,Pavla-Braunle,40
181,182,M,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,Lydon-Dahlman,30
182,183,F,7,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0,Dannie-Hissie,25
183,184,M,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0,Nappie-Paolo,51
185,186,F,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0,Mireielle-Jeppe,48
187,188,F,54,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13.0,Audry-Seine,47
188,189,M,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0,Umberto-Torricella,41
189,190,F,42,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10.0,Hayley-Girardengo,43
191,192,F,2,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8.0,Goldi-Osler,44
192,193,M,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0,Foss-Hardes,58
193,194,F,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10.0,Ursala-Ferrai,48
194,195,F,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0,Talyah-Rylatt,64
195,196,M,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0,Swen-Odhams,56
197,198,F,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0,Vanya-Gumb,41
198,199,F,61,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0,Verla-Alven,44
199,200,M,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,Hube-Weald,65
200,201,M,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,Salem-Huie,56
201,202,F,38,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16.0,Audie-Pillinger,59
202,203,M,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0,Donovan-Conry,58
203,204,M,56,1976-10-01,Editor,Financial Services,Mass Customer,N,No,5.0,Thorny-Hackworth,46
204,205,M,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0,Rolfe-Kellard,64
207,208,M,57,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5.0,Rutter-Excell,28
209,210,M,50,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18.0,Albrecht-Thomasson,59
210,211,F,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0,Beitris-nan,48
211,212,F,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1.0,Nanice-Ellse,21
212,213,M,13,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,6.0,Lockwood-Exroll,26
213,214,M,82,1957-11-29,Food Chemist,Health,Mass Customer,N,No,6.0,Jeramie-Cellier,65
214,215,F,37,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,18.0,Debera-Foxworthy,48
215,216,F,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0,Cinderella-Parcall,27
217,218,F,37,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8.0,Stefa-Dunnan,29
218,219,M,9,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7.0,Markus-Mughal,58
219,220,F,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0,Jeniffer-Apark,68
220,221,F,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0,Mara-Bloore,42
221,222,M,89,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0,Nev-Larive,44
223,224,M,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0,Morgun-Girvan,55
224,225,F,84,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,13.0,Brittaney-Pring,45
225,226,M,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0,Bondie-Letty,45
226,227,M,99,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,18.0,Wendall-McKeand,49
227,228,F,59,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0,Lucia-Pickervance,36
229,230,F,74,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11.0,Maegan-Scyone,68
230,231,M,48,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0,Basile-Winsor,27
231,232,F,94,1987-11-11,Professor,Retail,Mass Customer,N,No,12.0,Zaria-Koeppke,35
232,233,M,34,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,13.0,Art-Barwell,36
233,234,F,71,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,12.0,Mead-Alpes,53
234,235,F,30,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0,Leona-Phateplace,46
235,236,M,79,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14.0,Tybalt-Gillingwater,68
236,237,M,18,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,11.0,Reginald-Dartan,48
238,239,M,62,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3.0,Wells-Pressman,30
239,240,M,49,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0,Gavin-Fawks,33
240,241,M,94,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,20.0,Quillan-Duigan,35
241,242,M,17,1992-03-20,Nurse,Property,Affluent Customer,N,No,8.0,Taite-Droghan,30
242,243,F,94,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,14.0,Barbara-Croxley,46
244,245,F,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1.0,Noell-Grahlmans,21
245,246,F,63,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,9.0,Binny-Whight,31
246,247,F,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,Kristal-Joysey,39
247,248,F,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0,Inger-Eskell,44
248,249,M,65,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,9.0,D'arcy-Slay,30
249,250,M,53,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,13.0,Kristofer-nan,34
250,251,F,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0,Mala-nan,45
251,252,F,39,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13.0,Anthea-Ruskin,39
252,253,F,82,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,1.0,Amalee-Choak,25
253,254,F,98,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,14.0,Barbie-Rubi,61
254,255,F,2,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,5.0,Keeley-Kruger,68
255,256,F,16,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,21.0,Linell-Beadle,47
256,257,F,70,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19.0,Marissa-nan,56
257,258,F,24,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,9.0,Othella-Keher,30
258,259,F,70,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,3.0,Venita-Dymick,39
259,260,F,47,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,22.0,Farand-Marriner,43
262,263,F,89,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,7.0,Tonia-Leigh,37
263,264,M,31,1977-12-07,Technical Writer,Health,Mass Customer,N,No,11.0,Jedd-Spiby,45
264,265,M,74,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,18.0,Pennie-Stoile,57
265,266,F,69,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,18.0,Lelia-Garatty,33
267,268,F,60,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,10.0,Kacie-Kidston,44
268,269,M,55,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,9.0,Zacherie-Grindley,68
270,271,F,51,1991-02-13,Financial Advisor,Financial Services,Mass Customer,N,No,4.0,Doll-Burtwell,31
271,272,F,22,1987-06-06,Product Engineer,Retail,Mass Customer,N,Yes,1.0,Arlie-Crean,35
273,274,F,66,1976-09-15,Social Worker,Health,Mass Customer,N,Yes,14.0,Tessi-Hesse,46
274,275,M,7,1955-07-27,VP Sales,Health,High Net Worth,N,No,13.0,Dud-nan,67
278,279,F,0,1981-09-09,Web Designer I,Manufacturing,Mass Customer,N,No,11.0,Tamera-Hinckes,41
280,281,F,51,1972-12-27,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,Jeanette-Sizzey,50
281,282,M,82,1989-10-27,VP Quality Control,Argiculture,High Net Worth,N,Yes,11.0,Lauren-Curcher,33
282,283,F,34,1991-02-04,Assistant Manager,Retail,Mass Customer,N,No,2.0,Sari-Noye,31
283,284,M,38,1986-04-11,Financial Analyst,Financial Services,High Net Worth,N,Yes,9.0,Seth-Moorman,36
284,285,F,3,1977-11-19,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12.0,Julee-Janovsky,45
285,286,M,99,1989-08-01,Accounting Assistant II,Manufacturing,Affluent Customer,N,Yes,11.0,Kiley-Canaan,33
286,287,F,41,1985-05-06,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,4.0,Hannie-Wodham,37
288,289,F,43,1970-04-12,Clinical Specialist,Health,High Net Worth,N,No,10.0,Modestia-Lithgow,52
290,291,F,63,1971-10-22,Assistant Media Planner,Entertainment,Mass Customer,N,No,4.0,Aime-Burston,51
292,293,M,80,1989-12-10,Administrative Assistant III,Manufacturing,Mass Customer,N,Yes,20.0,Virgilio-Willcocks,33
296,297,F,33,1959-04-27,Electrical Engineer,Manufacturing,High Net Worth,N,No,16.0,Cecile-MacLise,63
297,298,M,69,1956-08-15,Engineer I,Manufacturing,High Net Worth,N,No,9.0,Maurise-Lenglet,66
298,299,F,80,1956-09-15,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes,7.0,Corabelle-Hartnell,66
299,300,M,88,1956-06-22,Clinical Specialist,Health,Mass Customer,N,No,9.0,Malachi-Hadcroft,66
300,301,F,54,1980-10-10,Developer IV,Manufacturing,High Net Worth,N,No,19.0,Hildy-Bilbrook,42
302,303,F,59,1974-08-15,Assistant Professor,Argiculture,Mass Customer,N,Yes,14.0,Shane-Smetoun,48
303,304,M,36,1969-03-27,VP Marketing,Manufacturing,Mass Customer,N,Yes,15.0,Paddy-Mumbray,53
304,305,F,1,1974-03-17,Financial Analyst,Financial Services,Mass Customer,N,No,11.0,Cris-Chellam,48
305,306,M,19,1973-08-02,Registered Nurse,Health,High Net Worth,N,No,18.0,Ruy-Adanet,49
306,307,M,55,1984-08-18,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0,Ruben-Handlin,38
307,308,M,2,1983-03-09,Database Administrator I,IT,High Net Worth,N,No,4.0,Iver-Dobsons,39
308,309,F,53,1974-10-02,Clinical Specialist,Health,Mass Customer,N,Yes,21.0,Maurizia-Ligerton,48
309,310,F,0,1985-02-13,Account Coordinator,Financial Services,Mass Customer,N,Yes,18.0,Myranda-Clowser,37
310,311,F,86,1957-08-16,Internal Auditor,Health,High Net Worth,N,No,12.0,Jaimie-Halms,65
311,312,M,44,1958-03-17,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,6.0,Garek-Prattin,64
312,313,M,70,1987-12-22,Operator,Manufacturing,Mass Customer,N,Yes,13.0,Theo-McKune,35
313,314,F,27,1962-08-25,Marketing Assistant,Retail,High Net Worth,N,Yes,5.0,Catie-Advani,60
314,315,F,67,1958-04-16,Chief Design Engineer,Manufacturing,Affluent Customer,N,No,12.0,Lisa-Odlin,64
315,316,F,72,1976-06-01,Environmental Specialist,Manufacturing,Mass Customer,N,Yes,10.0,Genni-Larway,46
316,317,F,26,1974-02-10,Automation Specialist II,Entertainment,Mass Customer,N,Yes,14.0,Elicia-Dahler,48
317,318,F,21,1969-05-19,Programmer III,Retail,Affluent Customer,N,Yes,18.0,Libbie-Castelin,53
319,320,M,19,1997-02-09,Registered Nurse,Health,Mass Customer,N,No,4.0,Aldous-Cubin,25
